Starts,Win(s),Win(s).1,Player,Record,Record.1,Team(s),Win Percentage,Win Percent Drop
10,6,6,Tom Brady,3-Jun,44350,New England Patriots,0.667,0.667
5,2,2,John Elway,3-Feb,2–3,Denver Broncos,0.4,0.4
4,4,4,Terry Bradshaw,Apr-00,4–0,Pittsburgh Steelers,1,1
4,4,4,Joe Montana,Apr-00,4–0,San Francisco 49ers,1,1
4,2,2,Roger Staubach,2-Feb,2–2,Dallas Cowboys,0.5,0.5
4,2,1,Peyton Manning,2-Jan,1–1,Indianapolis Colts,0.5,0.5
4,2,1,Peyton Manning,2-Jan,1–1,Denver Broncos,0.5,0.5
4,0,0,Jim Kelly,0 - 4,0–4,Buffalo Bills,0,0
3,3,3,Troy Aikman,Mar-00,3–0,Dallas Cowboys,1,1
3,2,2,Bob Griese,1-Feb,2–1,Miami Dolphins,0.667,0.667
3,2,2,Ben Roethlisberger,1-Feb,2–1,Pittsburgh Steelers,0.667,0.667
3,1,1,Kurt Warner,2-Jan,1–1,St. Louis Rams,0.5,0.5
3,1,0,Kurt Warner,0 - 1,0–1,Arizona Cardinals,0.333,0
3,0,0,Fran Tarkenton,0 - 3,0–3,Minnesota Vikings,0,0
2,2,2,Bart Starr,Feb-00,2–0,Green Bay Packers,1,1
2,2,2,Jim Plunkett,Feb-00,2–0,Oakland/Los Angeles Raiders,1,1
2,2,2,Eli Manning,Feb-00,2–0,New York Giants,1,1
2,1,1,Len Dawson,1-Jan,1–1,Kansas City Chiefs,0.5,0.5
2,1,1,Joe Theismann,1-Jan,1–1,Washington Redskins,0.5,0.5
2,1,1,Brett Favre,1-Jan,1–1,Green Bay Packers,0.5,0.5
2,1,1,Russell Wilson,1-Jan,1–1,Seattle Seahawks,0.5,0.5
1,1,1,Patrick Mahomes,1-Jan,1–0,Kansas City Chiefs,1,1
2,0,0,Craig Morton,0 - 1,0–1,Dallas Cowboys,0,0
2,0,0,Craig Morton,0 - 1,0–1,Denver Broncos,0,0
