Season,Super Bowl,Winning QB,Winning Team,Losing QB,Losing Team
1966 AFL/NFL,I,Bart Starr*MVP,Green Bay Packersn,Len Dawson*,Kansas City Chiefsa
1967 AFL/NFL,II,Bart Starr*MVP,Green Bay Packersn,Daryle Lamonica,Oakland Raidersa
1968 AFL/NFL,III,Joe Namath*MVP,New York Jetsa,Earl Morrall,Baltimore Coltsn
1969 AFL/NFL,IV,Len Dawson*MVP,Kansas City Chiefsa,Joe Kapp,Minnesota Vikingsn
1970,V,Johnny Unitas*,Baltimore ColtsA,Craig Morton,Dallas CowboysN
1971,VI,Roger Staubach*MVP,Dallas CowboysN,Bob Griese*,Miami DolphinsA
1972,VII,Bob Griese*,Miami DolphinsA,Billy Kilmer,Washington RedskinsN
1973,VIII,Bob Griese*,Miami DolphinsA,Fran Tarkenton*,Minnesota VikingsN
1974,IX,Terry Bradshaw*,Pittsburgh SteelersA,Fran Tarkenton*,Minnesota VikingsN
1975,X,Terry Bradshaw*,Pittsburgh SteelersA,Roger Staubach*,Dallas CowboysN
1976,XI,Ken Stabler*,Oakland RaidersA,Fran Tarkenton*,Minnesota VikingsN
1977,XII,Roger Staubach*,Dallas CowboysN,Craig Morton,Denver BroncosA
1978,XIII,Terry Bradshaw*MVP,Pittsburgh SteelersA,Roger Staubach*,Dallas CowboysN
1979,XIV,Terry Bradshaw*MVP,Pittsburgh SteelersA,Vince Ferragamo,Los Angeles RamsN
1980,XV,Jim PlunkettMVP,Oakland RaidersA,Ron Jaworski,Philadelphia EaglesN
1981,XVI,Joe Montana*MVP,San Francisco 49ersN,Ken Anderson,Cincinnati BengalsA
1982,XVII,Joe Theismann,Washington RedskinsN,David Woodley,Miami DolphinsA
1983,XVIII,Jim Plunkett,Los Angeles RaidersA,Joe Theismann,Washington RedskinsN
1984,XIX,Joe Montana*MVP,San Francisco 49ersN,Dan Marino*,Miami DolphinsA
1985,XX,Jim McMahon,Chicago BearsN,Tony Eason,New England PatriotsA
1986,XXI,Phil SimmsMVP,New York GiantsN,John Elway*,Denver BroncosA
1987,XXII,Doug WilliamsMVP,Washington RedskinsN,John Elway*,Denver BroncosA
1988,XXIII,Joe Montana*,San Francisco 49ersN,Boomer Esiason,Cincinnati BengalsA
1989,XXIV,Joe Montana*MVP,San Francisco 49ersN,John Elway*,Denver BroncosA
1990,XXV,Jeff Hostetler,New York GiantsN,Jim Kelly*,Buffalo BillsA
1991,XXVI,Mark RypienMVP,Washington RedskinsN,Jim Kelly*,Buffalo BillsA
1992,XXVII,Troy Aikman*MVP,Dallas CowboysN,Jim Kelly*,Buffalo BillsA
1993,XXVIII,Troy Aikman*,Dallas CowboysN,Jim Kelly*,Buffalo BillsA
1994,XXIX,Steve Young*MVP,San Francisco 49ersN,Stan Humphries,San Diego ChargersA
1995,XXX,Troy Aikman*,Dallas CowboysN,Neil O'Donnell,Pittsburgh SteelersA
1996,XXXI,Brett Favre*,Green Bay PackersN,Drew Bledsoe,New England PatriotsA
1997,XXXII,John Elway*,Denver BroncosA,Brett Favre*,Green Bay PackersN
1998,XXXIII,John Elway*MVP,Denver BroncosA,Chris Chandler,Atlanta FalconsN
1999,XXXIV,Kurt Warner*MVP,St. Louis RamsN,Steve McNair,Tennessee TitansA
2000,XXXV,Trent Dilfer,Baltimore RavensA,Kerry Collins,New York GiantsN
2001,XXXVI,Tom BradyMVP,New England PatriotsA,Kurt Warner*,St. Louis RamsN
2002,XXXVII,Brad Johnson,Tampa Bay BuccaneersN,Rich Gannon,Oakland RaidersA
2003,XXXVIII,Tom BradyMVP,New England PatriotsA,Jake Delhomme,Carolina PanthersN
2004,XXXIX,Tom Brady,New England PatriotsA,Donovan McNabb,Philadelphia EaglesN
2005,XL,Ben Roethlisberger,Pittsburgh SteelersA,Matt Hasselbeck‡,Seattle SeahawksN
2006,XLI,Peyton Manning‡MVP,Indianapolis ColtsA,Rex Grossman,Chicago BearsN
2007,XLII,Eli Manning‡MVP,New York GiantsN,Tom Brady,New England PatriotsA
2008,XLIII,Ben Roethlisberger,Pittsburgh SteelersA,Kurt Warner*,Arizona CardinalsN
2009,XLIV,Drew BreesMVP,New Orleans SaintsN,Peyton Manning‡,Indianapolis ColtsA
2010,XLV,Aaron RodgersMVP,Green Bay PackersN,Ben Roethlisberger,Pittsburgh SteelersA
2011,XLVI,Eli Manning‡MVP,New York GiantsN,Tom Brady,New England PatriotsA
2012,XLVII,Joe FlaccoMVP,Baltimore RavensA,Colin Kaepernick‡,San Francisco 49ersN
2013,XLVIII,Russell Wilson,Seattle SeahawksN,Peyton Manning‡,Denver BroncosA
2014,XLIX,Tom BradyMVP,New England PatriotsA,Russell Wilson,Seattle SeahawksN
2015,50,Peyton Manning‡,Denver BroncosA,Cam Newton,Carolina PanthersN
2016,LI,Tom BradyMVP,New England PatriotsA,Matt Ryan,Atlanta FalconsN
2017,LII,Nick FolesMVP,Philadelphia EaglesN,Tom Brady,New England PatriotsA
2018,LIII,Tom Brady,New England PatriotsA,Jared Goff,Los Angeles RamsN
2019,LIV,Patrick MahomesMVP,Kansas City ChiefsA,Jimmy Garoppolo,San Francisco 49ersN
Season,Super Bowl,Winning QB,Team,Losing QB,Team
